Q	E	I_diff
2.051821134045367090e-01	-1.000000000000000000e+00	1.099090676205540404e+02
2.051821134045367090e-01	-7.500000000000000000e-01	1.346494889730076068e+02
2.051821134045367090e-01	-5.000000000000000000e-01	1.477565893243758524e+02
2.051821134045367090e-01	-2.500000000000000000e-01	1.605720814582410298e+02
2.051821134045367090e-01	0.000000000000000000e+00	nan
2.051821134045367090e-01	2.500000000000000000e-01	1.576422968703484173e+02
2.051821134045367090e-01	5.000000000000000000e-01	1.445358202618510006e+02
2.051821134045367090e-01	7.500000000000000000e-01	1.340297700845103748e+02
2.051821134045367090e-01	1.000000000000000000e+00	1.023607597377599348e+02
2.296208706268376976e-01	-1.750000000000000000e+00	2.457602315227044798e+01
2.296208706268376976e-01	-1.500000000000000000e+00	4.306784614309775350e+01
2.296208706268376976e-01	-1.250000000000000000e+00	7.621771347604368430e+01
2.296208706268376976e-01	1.250000000000000000e+00	6.702435243982752411e+01
2.296208706268376976e-01	1.500000000000000000e+00	2.409369621890646229e+01
2.296208706268376976e-01	1.750000000000000000e+00	1.090808487462765708e+00
2.296208706268376976e-01	2.000000000000000000e+00	1.523648982786177108e-01
2.588410189058877875e-01	-2.500000000000000000e+00	1.110935306983457771e+01
2.588410189058877875e-01	-2.250000000000000000e+00	1.436433005250002459e+01
2.588410189058877875e-01	-2.000000000000000000e+00	1.845477443239821369e+01
2.588410189058877875e-01	-1.500000000000000000e+00	2.818320468576801119e+01
2.588410189058877875e-01	-1.250000000000000000e+00	4.856939885764714404e+01
2.588410189058877875e-01	-1.000000000000000000e+00	6.959254630297253641e+01
2.588410189058877875e-01	-7.500000000000000000e-01	8.387833633467951699e+01
2.588410189058877875e-01	-5.000000000000000000e-01	9.399172305915050174e+01
2.588410189058877875e-01	-2.500000000000000000e-01	9.861979395838521611e+01
2.588410189058877875e-01	0.000000000000000000e+00	nan
2.588410189058877875e-01	2.500000000000000000e-01	9.733768509312692174e+01
2.588410189058877875e-01	5.000000000000000000e-01	9.051228568350782666e+01
2.588410189058877875e-01	7.500000000000000000e-01	8.108562100577091769e+01
2.588410189058877875e-01	1.000000000000000000e+00	6.414093171072964594e+01
2.588410189058877875e-01	1.250000000000000000e+00	4.033161771532248707e+01
2.588410189058877875e-01	1.500000000000000000e+00	1.434422580693639127e+01
2.588410189058877875e-01	2.250000000000000000e+00	5.632567311347247418e-02
2.588410189058877875e-01	2.500000000000000000e+00	-1.014179606829419544e-01
2.934512272601224048e-01	-3.000000000000000000e+00	7.615771395849365355e+00
2.934512272601224048e-01	-2.750000000000000000e+00	9.074258883694222177e+00
2.934512272601224048e-01	-2.250000000000000000e+00	9.513539705809535008e+00
2.934512272601224048e-01	-2.000000000000000000e+00	1.198858622952298347e+01
2.934512272601224048e-01	-1.750000000000000000e+00	1.657033778184590034e+01
2.934512272601224048e-01	-5.000000000000000000e-01	9.868705802884882416e+01
2.934512272601224048e-01	-2.500000000000000000e-01	1.036898778886191650e+02
2.934512272601224048e-01	0.000000000000000000e+00	nan
2.934512272601224048e-01	2.500000000000000000e-01	1.024249817475442370e+02
2.934512272601224048e-01	5.000000000000000000e-01	9.450733917558957842e+01
2.934512272601224048e-01	7.500000000000000000e-01	8.557272925690391219e+01
2.934512272601224048e-01	1.750000000000000000e+00	8.439933582127008282e-01
2.934512272601224048e-01	2.000000000000000000e+00	-6.536408742781718573e-02
2.934512272601224048e-01	2.250000000000000000e+00	-4.155856675368260755e-02
2.934512272601224048e-01	2.500000000000000000e+00	-8.999928555007188913e-02
2.934512272601224048e-01	2.750000000000000000e+00	-1.044503435710157913e-01
2.934512272601224048e-01	3.000000000000000000e+00	8.269231828244988369e-02
3.176439147291508225e-01	-3.000000000000000000e+00	5.384074198032978487e+00
3.176439147291508225e-01	-2.750000000000000000e+00	6.579182561285683128e+00
3.176439147291508225e-01	-2.500000000000000000e+00	8.356459370613807280e+00
3.176439147291508225e-01	-1.750000000000000000e+00	1.834110993478392260e+01
3.176439147291508225e-01	-1.500000000000000000e+00	3.174997344032120594e+01
3.176439147291508225e-01	-1.250000000000000000e+00	5.510180339930325033e+01
3.176439147291508225e-01	-1.000000000000000000e+00	7.535585397396350515e+01
3.176439147291508225e-01	-7.500000000000000000e-01	8.883103889141536058e+01
3.176439147291508225e-01	1.000000000000000000e+00	6.710057336402961425e+01
3.176439147291508225e-01	1.250000000000000000e+00	4.386618588305847055e+01
3.176439147291508225e-01	1.500000000000000000e+00	1.417329259366364980e+01
3.176439147291508225e-01	1.750000000000000000e+00	9.430984561359435636e-01
3.176439147291508225e-01	2.000000000000000000e+00	1.127691174520336903e-01
3.176439147291508225e-01	2.750000000000000000e+00	-8.748166419234154612e-02
3.176439147291508225e-01	3.000000000000000000e+00	-1.063661065644845305e-01
3.176439147291508225e-01	3.250000000000000000e+00	-1.509124295516846848e-01
3.176439147291508225e-01	3.500000000000000000e+00	-1.495773826820077090e-01
3.512876914158594155e-01	-2.750000000000000000e+00	7.684770069260594916e+00
3.512876914158594155e-01	-2.500000000000000000e+00	8.827870734959855525e+00
3.512876914158594155e-01	-2.250000000000000000e+00	1.092047559183192362e+01
3.512876914158594155e-01	-2.000000000000000000e+00	1.412226624533749231e+01
3.512876914158594155e-01	-1.000000000000000000e+00	5.122770122216741839e+01
3.512876914158594155e-01	-7.500000000000000000e-01	6.149677881186730133e+01
3.512876914158594155e-01	-5.000000000000000000e-01	6.848589102429377817e+01
3.512876914158594155e-01	-2.500000000000000000e-01	7.352423920998798224e+01
3.512876914158594155e-01	0.000000000000000000e+00	nan
3.512876914158594155e-01	2.500000000000000000e-01	7.428304538669615908e+01
3.512876914158594155e-01	5.000000000000000000e-01	6.792544533409302687e+01
3.512876914158594155e-01	7.500000000000000000e-01	5.980066391235460088e+01
3.512876914158594155e-01	1.000000000000000000e+00	4.732931328074759847e+01
3.512876914158594155e-01	1.250000000000000000e+00	3.013402471875932065e+01
3.512876914158594155e-01	1.500000000000000000e+00	1.035855430159242196e+01
3.512876914158594155e-01	2.250000000000000000e+00	-5.650518591502745602e-02
3.512876914158594155e-01	2.500000000000000000e+00	-1.072340071361853053e-01
3.512876914158594155e-01	2.750000000000000000e+00	-9.466847569556102737e-02
3.512876914158594155e-01	3.000000000000000000e+00	-1.488564600107385172e-01
3.512876914158594155e-01	3.250000000000000000e+00	-1.860312445388654923e-01
