Q,E,I
2.051821134045367090e-01,-1.000000000000000000e+00,1.037127775053423072e-04
2.051821134045367090e-01,-7.500000000000000000e-01,1.068082899546659204e-04
2.051821134045367090e-01,-5.000000000000000000e-01,1.100448952550591374e-04
2.051821134045367090e-01,-2.500000000000000000e-01,1.134313251181095637e-04
2.051821134045367090e-01,0.000000000000000000e+00,1.169769992572835529e-04
2.051821134045367090e-01,2.500000000000000000e-01,1.206920916630329743e-04
2.051821134045367090e-01,5.000000000000000000e-01,1.245876044680794637e-04
2.051821134045367090e-01,7.500000000000000000e-01,1.286754504154972144e-04
2.051821134045367090e-01,1.000000000000000000e+00,1.329685450971651508e-04
2.296208706268376976e-01,-1.750000000000000000e+00,1.212850510951227092e-04
2.296208706268376976e-01,-1.500000000000000000e+00,1.248208086432041699e-04
2.296208706268376976e-01,-1.250000000000000000e+00,1.285140348456796286e-04
2.296208706268376976e-01,1.250000000000000000e+00,1.766286463673087063e-04
2.296208706268376976e-01,1.500000000000000000e+00,1.828855514196711630e-04
2.296208706268376976e-01,1.750000000000000000e+00,1.894826648176299968e-04
2.296208706268376976e-01,2.000000000000000000e+00,1.964452322767449644e-04
2.588410189058877875e-01,-2.500000000000000000e+00,1.437115658256513139e-04
2.588410189058877875e-01,-2.250000000000000000e+00,1.478156968601740916e-04
2.588410189058877875e-01,-2.000000000000000000e+00,1.520989653161891587e-04
2.588410189058877875e-01,-1.500000000000000000e+00,1.612462141867462818e-04
2.588410189058877875e-01,-1.250000000000000000e+00,1.661339255549284112e-04
2.588410189058877875e-01,-1.000000000000000000e+00,1.712483928037314472e-04
2.588410189058877875e-01,-7.500000000000000000e-01,1.766039300779278988e-04
2.588410189058877875e-01,-5.000000000000000000e-01,1.822160043510797907e-04
2.588410189058877875e-01,-2.500000000000000000e-01,1.881013491607638668e-04
2.588410189058877875e-01,0.000000000000000000e+00,1.942780917094261714e-04
2.588410189058877875e-01,2.500000000000000000e-01,2.007658951638725451e-04
2.588410189058877875e-01,5.000000000000000000e-01,2.075861182752339546e-04
2.588410189058877875e-01,7.500000000000000000e-01,2.147619947817442016e-04
2.588410189058877875e-01,1.000000000000000000e+00,2.223188354591989688e-04
2.588410189058877875e-01,1.250000000000000000e+00,2.302842561612609648e-04
2.588410189058877875e-01,1.500000000000000000e+00,2.386884357594157768e-04
2.588410189058877875e-01,2.250000000000000000e+00,2.668801884369126050e-04
2.588410189058877875e-01,2.500000000000000000e+00,2.774035709761418149e-04
2.934512272601224048e-01,-3.000000000000000000e+00,1.757340225472005246e-04
2.934512272601224048e-01,-2.750000000000000000e+00,1.807245289442993845e-04
2.934512272601224048e-01,-2.250000000000000000e+00,1.913685872049148209e-04
2.934512272601224048e-01,-2.000000000000000000e+00,1.970487006664697373e-04
2.934512272601224048e-01,-1.750000000000000000e+00,2.029869392215188613e-04
2.934512272601224048e-01,-5.000000000000000000e-01,2.371555600897761688e-04
2.934512272601224048e-01,-2.500000000000000000e-01,2.450264998266930231e-04
2.934512272601224048e-01,0.000000000000000000e+00,2.532985830110081769e-04
2.934512272601224048e-01,2.500000000000000000e-01,2.619997187795762334e-04
2.934512272601224048e-01,5.000000000000000000e-01,2.711603015941085730e-04
2.934512272601224048e-01,7.500000000000000000e-01,2.808134832157745055e-04
2.934512272601224048e-01,1.750000000000000000e+00,3.251301611666410399e-04
2.934512272601224048e-01,2.000000000000000000e+00,3.378641315238747477e-04
2.934512272601224048e-01,2.250000000000000000e+00,3.513680000083610022e-04
2.934512272601224048e-01,2.500000000000000000e+00,3.657056468722842766e-04
2.934512272601224048e-01,2.750000000000000000e+00,3.809477724277093294e-04
2.934512272601224048e-01,3.000000000000000000e+00,3.971727966010713462e-04
3.176439147291508225e-01,-3.000000000000000000e+00,2.050171407961277870e-04
3.176439147291508225e-01,-2.750000000000000000e+00,2.109152476521526599e-04
3.176439147291508225e-01,-2.500000000000000000e+00,2.170730391565246211e-04
3.176439147291508225e-01,-1.750000000000000000e+00,2.372661244002737479e-04
3.176439147291508225e-01,-1.500000000000000000e+00,2.446306567513174129e-04
3.176439147291508225e-01,-1.250000000000000000e+00,2.523457084402355222e-04
3.176439147291508225e-01,-1.000000000000000000e+00,2.604340207698165109e-04
3.176439147291508225e-01,-7.500000000000000000e-01,2.689202206845009674e-04
3.176439147291508225e-01,1.000000000000000000e+00,3.420296960514270955e-04
3.176439147291508225e-01,1.250000000000000000e+00,3.548876326440368405e-04
3.176439147291508225e-01,1.500000000000000000e+00,3.684911042299049053e-04
3.176439147291508225e-01,1.750000000000000000e+00,3.828993812225459569e-04
3.176439147291508225e-01,2.000000000000000000e+00,3.981777915103134474e-04
3.176439147291508225e-01,2.750000000000000000e+00,4.499948394403442773e-04
3.176439147291508225e-01,3.000000000000000000e+00,4.695575321037213858e-04
3.176439147291508225e-01,3.250000000000000000e+00,4.904391145731066019e-04
3.176439147291508225e-01,3.500000000000000000e+00,5.127621711344524692e-04
3.512876914158594155e-01,-2.750000000000000000e+00,2.532658876704324069e-04
