# h,k,l,E,sigma  (LuVO3 fitted modes from SpinW tutorial 35 data file)
0.00000,1.00000,2.10000,27.94750,0.17880
0.00000,1.00000,2.20000,27.42210,0.31700
0.00000,1.00000,2.30000,26.23920,0.17560
0.00000,1.00000,2.40000,24.85750,0.12970
0.00000,1.00000,2.50000,22.72750,0.12650
0.00000,1.00000,2.60000,20.27140,0.11480
0.00000,1.00000,2.70000,17.42480,0.14500
0.00000,1.00000,2.80000,13.89050,0.13900
0.00000,1.00000,2.90000,5.60920,0.51610
0.00000,1.00000,2.90000,10.55480,0.25420
0.00000,1.00000,3.00000,3.91850,0.17390
0.00000,1.00000,3.00000,8.90390,0.40670
0.00000,1.10000,3.10000,12.99130,0.10460
0.00000,1.20000,3.20000,20.71700,0.10410
0.00000,1.30000,3.30000,27.29920,0.12280
0.00000,1.40000,3.40000,31.70670,0.10000
0.00000,1.50000,3.50000,36.66090,0.48990
